channel,post_type,scheduled_at_est,scheduled_at_kst,copy,asset_url,link_url,status,notes
x,product,3/1 Sun 9:00 AM,3/1 Sun 23:00,"I scored 50 ChatGPT prompts. 82% failed the same dimension. Here's what separates a 34 from a 92: [thread] #PromptScoreChallenge #PromptEngineering",scorecard_34vs92.png,https://scoremyprompt.com,ready,Launch Tweet #1 - Hook thread
x,proof,3/1 Sun 1:00 PM,3/2 Mon 03:00,"Your prompt scored 34/100. Here's what a 92 looks like. Try it free → scoremyprompt.com #PromptScoreChallenge #AI",scorecard_comparison.png,https://scoremyprompt.com,ready,Launch Tweet #2 - Visual comparison
x,product,3/2 Mon 9:00 AM,3/2 Mon 23:00,"6 dimensions. 100 points. Free AI grading. Score your prompts now → scoremyprompt.com #PromptEngineering #AI #ChatGPT",og_default.png,https://scoremyprompt.com,ready,Launch Tweet #3 - CTA
x,edu,3/2 Mon 2:00 PM,3/3 Tue 04:00,"The #1 reason prompts fail? No specificity. A vague prompt scores 30-40. Add WHO + WHAT + FORMAT and watch it jump to 80+. Test yours → scoremyprompt.com #PromptEngineering",none,https://scoremyprompt.com,draft,Educational tip #1
x,edu,3/3 Tue 9:00 AM,3/3 Tue 23:00,"Most people write prompts like Google searches. But AI needs context like a new employee needs onboarding. The P in PROMPT = Precision. Be specific first. #PromptScoreChallenge",none,https://scoremyprompt.com,draft,Educational tip #2 - P dimension
x,edu,3/3 Tue 3:00 PM,3/4 Wed 05:00,"Secret to 90+ prompt scores: Role assignment. Don't just say 'write me an email.' Say 'You are a senior copywriter with 10 years in SaaS B2B marketing.' #PromptEngineering",none,https://scoremyprompt.com,draft,Educational tip #3 - R dimension
x,engage,3/4 Wed 9:00 AM,3/4 Wed 23:00,"Poll: What's your biggest prompt challenge? 🤔 A) Getting specific enough B) Structuring output format C) Providing right context D) Iterating on results #PromptScoreChallenge",none,https://scoremyprompt.com,draft,Engagement poll
x,edu,3/4 Wed 2:00 PM,3/5 Thu 04:00,"The O in PROMPT = Output format. Without it your AI guesses what you want. Add: 'Format as a bullet list with headers' or 'Write as a 3-paragraph email.' Score jumps 15-20 pts. #AI",none,https://scoremyprompt.com,draft,Educational tip #4 - O dimension
x,proof,3/5 Thu 9:00 AM,3/5 Thu 23:00,"Real data from ScoreMyPrompt users: Average first score = 47/100. After reading our guides average jumps to 71. That's a 51% improvement. Your prompts have room to grow. 📈",none,https://scoremyprompt.com/guides,draft,Social proof with data
x,edu,3/5 Thu 3:00 PM,3/6 Fri 05:00,"M = Mission Context. The secret weapon. Background info business goals and constraints in your prompt. Most people skip this entirely. That's why most scores cap at 60. #PromptEngineering",none,https://scoremyprompt.com,draft,Educational tip #5 - M dimension
x,engage,3/6 Fri 9:00 AM,3/6 Fri 23:00,"Share your ScoreMyPrompt result! Drop your score below 👇 Highest score this week gets a shoutout! #PromptScoreChallenge #AI",none,https://scoremyprompt.com,draft,Engagement - share scores
x,edu,3/7 Sat 10:00 AM,3/8 Sun 00:00,"Week 1 recap: Top scoring prompts all share 3 things - Clear purpose (P) + Specific role (R) + Defined output (O). Master these 3 and you're already top 20%. Full breakdown → scoremyprompt.com/guides",none,https://scoremyprompt.com/guides,draft,Week 1 recap
linkedin,product,3/1 Sun 10:00 AM,3/2 Mon 00:00,"We built ScoreMyPrompt because prompt engineering shouldn't be guesswork. Our tool evaluates your AI prompts across 6 dimensions (Precision Role Output Format Mission Context Structure Tailoring) and gives you an instant score out of 100. After analyzing hundreds of prompts we found that 82% fail on the same dimension: Precision. Most people write vague instructions and wonder why AI gives generic answers. Try it free - no signup required: scoremyprompt.com #PromptEngineering #AI #ProductLaunch",og_default.png,https://scoremyprompt.com,ready,LinkedIn Launch Post #1
linkedin,edu,3/3 Tue 8:00 AM,3/3 Tue 22:00,"The gap between a 40-point prompt and a 90-point prompt isn't creativity - it's structure. We analyzed prompt patterns across marketing developers product managers and designers. The pattern is clear: high-scoring prompts always define three things upfront: 1. WHO the AI should be (Role) 2. WHAT format you need (Output) 3. HOW specific the task is (Precision) These aren't advanced techniques. They're fundamentals that most people skip. Score your prompts and see where you stand: scoremyprompt.com #PromptEngineering #AIProductivity",none,https://scoremyprompt.com,draft,LinkedIn Educational Post
linkedin,proof,3/5 Thu 8:00 AM,3/5 Thu 22:00,"Early data from ScoreMyPrompt users: Average first-attempt score: 47/100. After reading our free guides and re-prompting: 71/100. That's a 51% improvement in prompt quality - with just awareness of what to fix. The biggest unlock? Most users didn't know their prompts were missing key elements until they saw the dimensional breakdown. What gets measured gets improved. Try it: scoremyprompt.com #DataDriven #AI #PromptEngineering",none,https://scoremyprompt.com,draft,LinkedIn Social Proof
bluesky,product,3/1 Sun 11:00 AM,3/2 Mon 01:00,"Just launched ScoreMyPrompt - a free tool that grades your AI prompts on 6 dimensions and gives you a score out of 100. No signup needed. Curious what your prompts actually score? → scoremyprompt.com",none,https://scoremyprompt.com,ready,Bluesky Launch
bluesky,edu,3/2 Mon 10:00 AM,3/2 Mon 24:00,"Hot take: Most AI prompts are just dressed-up Google searches. But AI needs context like a new hire needs onboarding. Define purpose + role + format = instant upgrade.",none,https://scoremyprompt.com,draft,Bluesky Educational #1
bluesky,edu,3/3 Tue 10:00 AM,3/3 Tue 24:00,"The PROMPT framework: P-Precision R-Role O-Output Format M-Mission Context S-Structure T-Tailoring. Score yourself on each. Most people set a Role but completely forget Output Format.",none,https://scoremyprompt.com,draft,Bluesky Educational #2
bluesky,engage,3/4 Wed 10:00 AM,3/4 Wed 24:00,"Prompt engineering challenge: take your worst ChatGPT prompt and run it through scoremyprompt.com. Then improve based on the feedback. Share your before/after!",none,https://scoremyprompt.com,draft,Bluesky Engagement
bluesky,proof,3/5 Thu 10:00 AM,3/5 Thu 24:00,"Fun stat: the dimension most prompts fail on is Precision. People ask AI to 'write a blog post' instead of 'write a 800-word technical blog post about React Server Components for senior developers.' Precision = quality.",none,https://scoremyprompt.com,draft,Bluesky Social Proof
